序号,code,name,eps,revenue,rev_yoy,营业总收入-季度环比增长,profit,profit_yoy,净利润-季度环比增长,bps,roe,ocf_ps,gross_margin,industry,ann_date,rev_yi,profit_yi,cash_ratio,小基数,信号分,命中词,文件数,kf_pct,kf_yi,np_yi,period_used,扣非占比,判定
1977,300159,新研股份,0.008,201113070.18,52.2517478072,147.3604,26235256.49,115.58,-148.3781,0.843692352142,0.96,-0.053900446915,10.5442948243,专用设备,2026-08-28,2.01,0.262,-6.7375558643749995,False,7,超预期、量价齐升,2,63.8,-0.545724,0.262353,2026-06-30,-2.08,⚠️非经常性占比高
4809,688449,联芸科技,1.13,854109397.31,40.0818953052,40.4079,519551700.5,825.54,5663.8126,5.286861846457,23.84,0.292810378674,49.8526212346,半导体,2026-08-26,8.54,5.196,0.2591242289150443,False,5,高景气,1,61.07,0.5652520000000001,5.2,2026-06-30,0.109,⚠️非经常性占比高
1518,688052,纳芯微,0.42,2540419186.83,66.7308466825,22.577,67591800.42,186.6450606843,389.1392,47.610679288021,0.88,-4.368879788437,32.0897181448,半导体,2026-08-28,25.4,0.676,-10.40209473437381,False,5,高景气,1,54.67,-0.47888800000000004,0.675918,2026-06-30,-0.709,⚠️非经常性占比高
6977,002074,国轩高科,0.76,27775546292.11,43.2206432636,37.2338,1386048497.18,278.05,6371.0674,16.606946690868,4.68,0.235852046221,15.6032862472,电池,2026-08-25,277.76,13.86,0.3103316397644737,False,7,满产、超预期,2,46.71,1.07,13.86,2026-06-30,0.077,⚠️非经常性占比高
2072,002466,天齐锂业,2.51,12242243203.99,153.3219939466,38.7311,4242020000.77,4925.46,26.1171,28.203674636205,9.24,1.291176455321,64.3882879099,能源金属,2026-08-28,122.42,42.42,0.5144129304067729,True,7,产能爬坡、量价齐升,2,318054.9,42.0,42.42,2026-06-30,0.99,✅真主营增长
10945,301308,江波龙,25.2,24088363284.95,136.2610583659,43.1025,10576875808.95,71528.66,73.8537,43.924176013626,79.03,-7.449114578338,58.9022844185,半导体,2026-08-11,240.88,105.769,-0.2955997848546826,True,14,供不应求、量价齐升、高景气,3,31096.33,100.47,105.77,2026-06-30,0.95,✅真主营增长
6949,002297,博云新材,0.297,745025137.77,88.3314097206,-4.0237,170216370.59,1911.6,-71.3475,4.008962041026,7.69,-0.07597019562,44.4012710068,航空装备Ⅱ,2026-08-25,7.45,1.702,-0.2557919044444444,True,5,高景气,1,19369.88,1.62,1.7,2026-06-30,0.953,✅真主营增长
2133,001309,德明利,26.76,16910558920.73,311.5455913213,24.3268,6017114995.48,5201.6,-20.1799,43.103320797086,95.11,-29.692284424241,47.1244497902,半导体,2026-08-28,169.11,60.171,-1.109577145898393,True,26,产品涨价、产能利用率、供不应求、供给偏紧、供需偏紧、高景气,2,4975.97,59.66,60.17,2026-06-30,0.992,✅真主营增长
923,002842,翔鹭钨业,1.47,2633272274.03,182.8509858326,29.3646,482090971.0,2522.4,-7.5575,5.038118568747,33.24,-1.565544007129,32.0047925804,小金属,2026-08-29,26.33,4.821,-1.064995923217007,True,13,供不应求、供给偏紧、供需偏紧,1,4855.41,4.69,4.82,2026-06-30,0.973,✅真主营增长
9493,002491,通鼎互联,0.1647,2457536233.34,61.4560293732,31.055,202537933.47,326.04,195.0107,2.172370632161,7.88,0.116317122792,27.8234609241,通信设备,2026-08-20,24.58,2.025,0.7062363253916211,False,4,量价齐升,1,3856.18,2.68,2.03,2026-06-30,1.32,✅真主营增长
331,688825,长鑫科技,1.2893,150310076758.0,873.6417332025,95.8851,77605227520.0,3427.7569143657,113.4041,2.238170510872,81.06,2.178926243106,84.7418874692,半导体,2026-08-29,1503.1,776.052,1.690007169088653,True,5,供不应求,1,3401.56,787.93,776.05,2026-06-30,1.015,✅真主营增长
9539,000520,凤凰航运,0.0295,672590221.07,95.6994130971,76.121,29889930.35,2329.69,705.2158,0.441815063255,6.91,0.029377052696,6.9550446386,航运港口,2026-08-20,6.73,0.299,0.9958322947796612,True,8,供给偏紧、供需偏紧,1,3200.73,0.276909,0.29889899999999997,2026-06-30,0.926,✅真主营增长
1849,301150,中一科技,0.51,3938836814.78,47.1518076178,19.1604,166601252.33,987.97,35.1785,11.483252961881,4.53,-0.284721423929,7.6827233247,电池,2026-08-28,39.39,1.666,-0.5582773018215687,False,8,超预期、高景气,2,3002.58,1.47,1.67,2026-06-30,0.88,✅真主营增长
9697,688766,普冉股份,5.58,3959291997.88,336.6701829247,73.6624,826745893.31,1929.65,129.2339,22.478140532997,28.73,6.351654252135,51.1492760833,半导体,2026-08-19,39.59,8.267,1.1382892924973118,True,33,产品涨价、供不应求、供给偏紧、供需偏紧、在手订单、提价、需求旺盛、高景气,2,2994.08,8.25,8.27,2026-06-30,0.998,✅真主营增长
6369,688525,佰维存储,15.28,15574943371.35,298.0982138029,28.5642,7165580281.51,3273.4822888579,47.1764,26.932081103228,78.69,-13.277384824639,54.8116105058,半导体,2026-08-25,155.75,71.656,-0.8689387974240184,True,8,产能爬坡、高景气,2,2962.97,66.33,71.66,2026-06-30,0.926,✅真主营增长
6471,603268,松发股份,3.72,23504457854.74,251.874251691,64.4416,3608650181.02,457.67,130.0203,13.453155403237,32.06,8.765251921756,23.6588177372,航海装备Ⅱ,2026-08-25,235.04,36.087,2.356250516601075,False,37,供不应求、供给偏紧、供需偏紧、在手订单、订单饱满、超预期、量价齐升、需求旺盛、高景气,4,2935.31,35.14,36.09,2026-06-30,0.974,✅真主营增长
498,603045,福达合金,2.2887,4399304106.44,96.3546416783,26.5003,309998351.66,1146.56,-28.791,10.052334558737,25.28,-4.878361510679,14.6127609221,金属新材料,2026-08-29,43.99,3.1,-2.131498890496352,True,13,产品涨价、需求旺盛、高景气,3,2891.06,3.04,3.1,2026-06-30,0.981,✅真主营增长
